entrada_dt,llegada_pico_dt,salida_dt,Tiempo_Cola_min,Tiempo_Servicio_min,Tiempo_Total_Sistema_min
1900-01-01 08:23:07,1900-01-01 09:01:05,1900-01-01 09:05:43,37.96666666666667,4.633333333333334,42.6
1900-01-01 08:24:00,1900-01-01 09:03:00,1900-01-01 09:08:00,39.0,5.0,44.0
1900-01-01 08:25:35,1900-01-01 09:05:00,1900-01-01 09:09:12,39.416666666666664,4.2,43.61666666666667
1900-01-01 08:26:49,1900-01-01 09:05:43,1900-01-01 09:10:00,38.9,4.283333333333333,43.18333333333333
1900-01-01 08:27:00,1900-01-01 09:08:00,1900-01-01 09:12:00,41.0,4.0,45.0
1900-01-01 08:29:15,1900-01-01 09:09:12,1900-01-01 09:13:30,39.95,4.3,44.25
1900-01-01 08:30:00,1900-01-01 09:10:00,1900-01-01 09:14:00,40.0,4.0,44.0
1900-01-01 08:31:45,1900-01-01 09:12:00,1900-01-01 09:16:00,40.25,4.0,44.25
1900-01-01 08:33:00,1900-01-01 09:13:30,1900-01-01 09:18:00,40.5,4.5,45.0
1900-01-01 08:34:00,1900-01-01 09:14:00,1900-01-01 09:19:00,40.0,5.0,45.0
1900-01-01 08:35:15,1900-01-01 09:16:00,1900-01-01 09:21:00,40.75,5.0,45.75
